title,score,episode,aired,user
Fullmetal Alchemist: Brotherhood,9.10,TV (64 eps),Apr 2009 - Jul 2010,"3,232,824 members"
Steins;Gate,9.07,TV (24 eps),Apr 2011 - Sep 2011,"2,484,561 members"
Gintama°,9.06,TV (51 eps),Apr 2015 - Mar 2016,"608,541 members"
Bleach: Sennen Kessen-hen,9.05,TV (13 eps),Oct 2022 - Dec 2022,"483,862 members"
Gintama: The Final,9.05,Movie (1 eps),Jan 2021 - Jan 2021,"139,044 members"
Shingeki no Kyojin Season 3 Part 2,9.05,TV (10 eps),Apr 2019 - Jul 2019,"2,161,148 members"
Gintama',9.04,TV (51 eps),Apr 2011 - Mar 2012,"537,338 members"
Hunter x Hunter (2011),9.04,TV (148 eps),Oct 2011 - Sep 2014,"2,716,537 members"
Kaguya-sama wa Kokurasetai: Ultra Romantic,9.04,TV (13 eps),Apr 2022 - Jun 2022,"860,821 members"
Gintama': Enchousen,9.03,TV (13 eps),Oct 2012 - Mar 2013,"314,985 members"
Shingeki no Kyojin: The Final Season - Kanketsu-hen,9.03,Special (2 eps),Mar 2023 - Nov 2023,"483,588 members"
Ginga Eiyuu Densetsu,9.02,OVA (110 eps),Jan 1988 - Mar 1997,"310,757 members"
Sousou no Frieren,9.01,TV (? eps),Sep 2023 -,"136,001 members"
Fruits Basket: The Final,8.99,TV (13 eps),Apr 2021 - Jun 2021,"447,951 members"
Gintama.,8.98,TV (12 eps),Jan 2017 - Mar 2017,"303,888 members"
Gintama,8.94,TV (201 eps),Apr 2006 - Mar 2010,"1,038,575 members"
Koe no Katachi,8.94,Movie (1 eps),Sep 2016 - Sep 2016,"2,240,291 members"
3-gatsu no Lion 2nd Season,8.93,TV (22 eps),Oct 2017 - Mar 2018,"390,127 members"
Clannad: After Story,8.93,TV (24 eps),Oct 2008 - Mar 2009,"1,164,762 members"
Code Geass: Hangyaku no Lelouch R2,8.91,TV (25 eps),Apr 2008 - Sep 2008,"1,727,788 members"
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.91,Movie (1 eps),Jul 2013 - Jul 2013,"233,556 members"
Violet Evergarden Movie,8.89,Movie (1 eps),Sep 2020 - Sep 2020,"570,019 members"
Owarimonogatari 2nd Season,8.88,TV (7 eps),Aug 2017 - Aug 2017,"386,800 members"
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88,TV (14 eps),Jul 2018 - Oct 2018,"190,464 members"
Monster,8.87,TV (74 eps),Apr 2004 - Sep 2005,"1,050,927 members"
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.86,TV (13 eps),Jul 2023 - Sep 2023,"199,979 members"
Kimi no Na wa.,8.84,Movie (1 eps),Aug 2016 - Aug 2016,"2,648,101 members"
The First Slam Dunk,8.83,Movie (1 eps),Dec 2022 - Dec 2022,"29,136 members"
Jujutsu Kaisen 2nd Season,8.83,TV (23 eps),Jul 2023 -,"603,294 members"
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.83,Movie (1 eps),Dec 2022 - Dec 2022,"212,723 members"
Bocchi the Rock!,8.82,TV (12 eps),Oct 2022 - Dec 2022,"477,698 members"
Gintama.: Shirogane no Tamashii-hen,8.81,TV (12 eps),Jan 2018 - Mar 2018,"204,780 members"
Kingdom 3rd Season,8.81,TV (26 eps),Apr 2020 - Oct 2021,"94,529 members"
Vinland Saga Season 2,8.81,TV (24 eps),Jan 2023 - Jun 2023,"509,892 members"
Mob Psycho 100 II,8.80,TV (13 eps),Jan 2019 - Apr 2019,"1,466,884 members"
Kizumonogatari III: Reiketsu-hen,8.79,Movie (1 eps),Jan 2017 - Jan 2017,"447,512 members"
Shingeki no Kyojin: The Final Season,8.79,TV (16 eps),Dec 2020 - Mar 2021,"1,894,777 members"
Kimetsu no Yaiba: Yuukaku-hen,8.78,TV (11 eps),Dec 2021 - Feb 2022,"1,317,286 members"
Sen to Chihiro no Kamikakushi,8.78,Movie (1 eps),Jul 2001 - Jul 2001,"1,793,758 members"
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.78,TV (10 eps),Oct 2016 - Dec 2016,"1,162,587 members"
"""Oshi no Ko""",8.77,TV (11 eps),Apr 2023 - Jun 2023,"666,505 members"
Monogatari Series: Second Season,8.77,TV (26 eps),Jul 2013 - Dec 2013,"655,156 members"
Shingeki no Kyojin: The Final Season Part 2,8.77,TV (12 eps),Jan 2022 - Apr 2022,"1,181,971 members"
Hajime no Ippo,8.76,TV (75 eps),Oct 2000 - Mar 2002,"562,921 members"
Cowboy Bebop,8.75,TV (26 eps),Apr 1998 - Apr 1999,"1,805,071 members"
Kingdom 4th Season,8.74,TV (26 eps),Apr 2022 - Oct 2022,"56,708 members"
Vinland Saga,8.74,TV (24 eps),Jul 2019 - Dec 2019,"1,416,867 members"
Mushishi Zoku Shou 2nd Season,8.73,TV (10 eps),Oct 2014 - Dec 2014,"258,506 members"
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.72,TV (12 eps),Jan 2017 - Mar 2017,"183,097 members"
Ashita no Joe 2,8.72,TV (47 eps),Oct 1980 - Aug 1981,"49,200 members"
86 Part 2,8.71,TV (12 eps),Oct 2021 - Mar 2022,"456,533 members"
Mob Psycho 100 III,8.71,TV (12 eps),Oct 2022 - Dec 2022,"609,750 members"
One Piece,8.71,TV (? eps),Oct 1999 -,"2,242,749 members"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,OVA (4 eps),Feb 1999 - Sep 1999,"272,064 members"
Bungou Stray Dogs 5th Season,8.70,TV (11 eps),Jul 2023 - Sep 2023,"130,188 members"
Code Geass: Hangyaku no Lelouch,8.70,TV (25 eps),Oct 2006 - Jul 2007,"2,185,692 members"
Great Teacher Onizuka,8.69,TV (43 eps),Jun 1999 - Sep 2000,"801,582 members"
Mushishi Zoku Shou,8.69,TV (10 eps),Apr 2014 - Jun 2014,"292,321 members"
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.69,TV (12 eps),Oct 2021 - Dec 2021,"840,518 members"
Shiguang Dailiren,8.69,ONA (11 eps),Apr 2021 - Jul 2021,"328,187 members"
